Title,Stream,Week,Stage,Role,Effort,Depends on,Acceptance criteria
Build buyer brief intake form (Web app),A,3,1,Engineer,L,Build app shell (nav top bar empty states) for Web app + Model core entities (buyer brief property shortlist note message agent),Buyer can complete a brief end to end | Brief stored under their tenant | Validation messages copy-checked
Write brief intake copy and microcopy,A,3,1,Copywriter,S,Build buyer brief intake form (Web app),All field labels helper text errors signed off | Australian English | No em-dashes no purchase
Build Agent space inbox view (read-only),C,3,1,Engineer,M,Sketch Agent space layout (inbox briefs properties board) + Build Bruce inbound webhook and message store,Agent sees all WhatsApp messages for their tenant | Filter by buyer | Sorted newest first
Connect Bruce to LLM with grounded system prompt,B,3,1,Engineer,M,Wire Bruce reply pipeline (echo only no LLM yet),Bruce replies using LLM | System prompt loaded from config | Token and cost logged per message
Write Bruce v1 system prompt,B,3,1,Copywriter,M,Write Bruce persona and conversation principles,Prompt covers identity scope escalation refusal | Reviewed by Chris | Versioned in repo
Define environments (dev staging prod) and deploy pipeline,A,3,1,DevOps,M,Stand up monorepo with apps/web apps/bruce apps/agent packages/db packages/ui,Three Vercel projects | Env vars documented | Branch-to-env mapping written up
Demo to Compass: sign in submit brief message Bruce,Compass,3,1,BA,S,Build buyer brief intake form (Web app) + Build Agent space inbox view (read-only) + Connect Bruce to LLM with grounded system prompt,30 min walkthrough with Chris | Feedback captured as tickets | Status updated in Notion
Add tenant onboarding flow (create tenant invite agent),A,4,1,Engineer,M,Implement Supabase auth with email and magic link + Model core entities (buyer brief property shortlist note message agent),Compass admin can create a tenant and invite an agent | Invite email lands | New agent sees only their tenant
Add audit log for sensitive actions,A,4,1,Engineer,S,Add tenant onboarding flow (create tenant invite agent),Tenant creation invites role changes brief submits write to audit_log | Visible to admin only
Write data model and architecture doc (v1),A,4,1,Engineer,M,Model core entities (buyer brief property shortlist note message agent),Diagram and plain-English explainer | Stored in repo /docs | Linked from Notion
QA pass on Web app and Bruce and Agent inbox,All,4,1,Tester,M,Add tenant onboarding flow (create tenant invite agent) + Build Agent space inbox view (read-only) + Connect Bruce to LLM with grounded system prompt,Test plan executed across desktop and iOS Safari and Android Chrome | Bugs logged in Notion | P0/P1 cleared
Compass UAT on M1 scope,Compass,4,1,BA,S,QA pass on Web app and Bruce and Agent inbox,Chris signs off on M1 acceptance | Outstanding items moved to Stage 2 backlog
M1 gate: Foundations accepted,Compass,4,1,BA,S,Compass UAT on M1 scope,Auth tenancy brief intake Bruce echo plus LLM agent inbox demonstrated end-to-end | Written sign-off from Chris | Stage 2 kicked off
Build property record (create edit photos),A,5,2,Engineer,L,M1 gate: Foundations accepted,Agent can add a property with address price notes up to 20 photos | Photos stored in Supabase storage | Thumbnails generated
Build shortlist (link properties to a brief),A,5,2,Engineer,M,Build property record (create edit photos),Agent can attach properties to a buyer brief | Buyer sees shortlist in their portal | Order is editable
Design property card and shortlist view,A,5,2,Frontend Designer,M,Define brand tokens and component library shell,Card and list designs approved | Mobile and desktop | Empty loading error states covered
Add intent classifier to Bruce,B,5,2,Engineer,M,Connect Bruce to LLM with grounded system prompt,Bruce tags inbound messages with intent | Tag stored on message | Accuracy spot-checked on 50 samples
Add escalation handoff to agent,B,5,2,Engineer,M,Add intent classifier to Bruce + Build Agent space inbox view (read-only),When Bruce flags escalation an agent gets notified | Agent can take over thread | Buyer sees seamless handoff
Compass Monday catch-up (week 5),Compass,5,2,BA,S,Schedule Monday Compass catch-up cadence (30 min weekly),Status blockers decisions logged | Agenda followed
Build buyer portal home (brief shortlist messages),A,6,2,Engineer,L,Build shortlist (link properties to a brief) + Build Agent space inbox view (read-only),Buyer sees their brief shortlist and recent Bruce thread | Loads under 2s on 4G | Empty states designed
Design buyer portal home,A,6,2,Frontend Designer,M,Design property card and shortlist view,Layout signed off | Reuses existing tokens | Responsive across breakpoints
Build agent thread view with reply,C,6,2,Engineer,M,Build Agent space inbox view (read-only) + Add escalation handoff to agent,Agent can reply to a buyer thread from Agent space | Reply goes out via WhatsApp | Thread stays in sync
Add Bruce knowledge base (Compass FAQs regions services),B,6,2,Engineer,M,Connect Bruce to LLM with grounded system prompt,KB documents stored in Supabase plus embeddings | Bruce retrieves before answering | Source citations logged
Write Bruce knowledge base content (FAQs regions services),B,6,2,Copywriter,M,Write Bruce v1 system prompt,30 to 50 KB entries written and approved | Australian English | Loaded into store
Build notes on briefs properties and threads,C,7,2,Engineer,M,Build agent thread view with reply + Build property record (create edit photos),Agent can add private notes on any record | Notes are tenant-scoped | Markdown supported
Build agent task board (kanban To Do In Progress Done),C,7,2,Engineer,L,Build agent thread view with reply,Kanban view of tasks across buyers | Drag to move column | Filter by agent or buyer
Design agent task board,C,7,2,Frontend Designer,M,Sketch Agent space layout (inbox briefs properties board),Board columns card designs approved | Empty and full states covered
Add Bruce summarisation (daily digest per buyer),B,7,2,Engineer,M,Add Bruce knowledge base (Compass FAQs regions services) + Build agent thread view with reply,Each morning agent gets a per-buyer summary of last 24h chat | Delivered to Agent space | Tunable cadence
Compass Monday catch-up (week 7),Compass,7,2,BA,S,Schedule Monday Compass catch-up cadence (30 min weekly),Status blockers decisions logged
Mid-stage demo to Compass,Compass,8,2,BA,S,Build buyer portal home (brief shortlist messages) + Build agent task board (kanban To Do In Progress Done) + Add Bruce summarisation (daily digest per buyer),45 min demo of buyer portal agent space Bruce v1 | Feedback captured | Re-prioritisation locked in
Mid-stage QA sweep,All,8,2,Tester,M,Mid-stage demo to Compass,Cross-browser and mobile pass | Top 10 bugs filed | Regression list documented
Refine Bruce prompts based on real conversation review,B,8,2,Copywriter,M,Mid-stage demo to Compass,50 real or realistic conversations reviewed | Prompt v2 drafted | Signed off by Chris
Performance baseline (web app and Bruce reply latency),A,8,2,Engineer,S,Mid-stage QA sweep,Lighthouse and Bruce p95 reply latency captured | Targets agreed for Stage 3
Build search across briefs properties and threads,C,9,2,Engineer,L,Build notes on briefs properties and threads,Agent searches by buyer suburb status free text | Returns under 500ms | Tenant-scoped
Build agent admin (members roles integrations),C,9,2,Engineer,M,Add tenant onboarding flow (create tenant invite agent),Admin can invite remove set roles | Integration toggles for WhatsApp email | Audit logged
Design search and admin views,C,9,2,Frontend Designer,M,Design agent task board,Layouts approved | Reuses tokens and components
Add Bruce media handling (images voice notes),B,9,2,Engineer,M,Refine Bruce prompts based on real conversation review,Buyer can send a property photo or voice note | Stored against thread | Voice transcribed and shown to agent
Add transactional email (Resend) for invites escalations summaries,A,10,2,Engineer,M,Build agent admin (members roles integrations),Templated emails for 5 events | Preview in dev | Bounces logged
Write transactional email copy,A,10,2,Copywriter,S,Add transactional email (Resend) for invites escalations summaries,All 5 templates copy-checked | Australian English | Plain-text fallbacks
Add in-app notifications (mentions escalations new messages),C,10,2,Engineer,M,Build agent thread view with reply + Add escalation handoff to agent,Bell icon shows unread | Click jumps to source | Read state persisted
Add calendar inspection scheduling on a property,C,10,2,Engineer,M,Build property record (create edit photos),Agent can schedule and track inspections | Visible to buyer in portal | ICS export available
Compass Monday catch-up (week 10),Compass,10,2,BA,S,Schedule Monday Compass catch-up cadence (30 min weekly),Status blockers decisions logged
Build agent reporting (active buyers response times shortlist throughput),C,11,2,Engineer,L,Build agent task board (kanban To Do In Progress Done) + Add in-app notifications (mentions escalations new messages),Dashboard shows 5 core metrics | Filter by date and agent | Numbers reconcile with raw data
Build buyer-facing weekly recap (email plus portal block),A,11,2,Engineer,M,Add transactional email (Resend) for invites escalations summaries + Build buyer portal home (brief shortlist messages),Buyer gets a Friday recap | Mirrors what is in portal | Unsubscribe handled
Polish pass on Web app and Agent space,A,11,2,Frontend Designer,M,Build buyer portal home (brief shortlist messages) + Build agent reporting (active buyers response times shortlist throughput),Spacing type motion reviewed across all screens | Issues filed | 80 percent plus resolved
Bruce safety and refusal review,B,11,2,Engineer,S,Refine Bruce prompts based on real conversation review,Refusal cases tested (legal advice off-scope) | Logged | Behaviour tuned
End-to-end QA of buyer journey,All,12,2,Tester,L,Build buyer-facing weekly recap (email plus portal block) + Build agent reporting (active buyers response times shortlist throughput) + Bruce safety and refusal review,Brief to Bruce chat to shortlist to inspection to recap tested as a single flow | Bugs logged | P0/P1 cleared
Run dry-run buyer engagement with internal volunteer,Compass,12,2,BA,M,End-to-end QA of buyer journey,One internal buyer runs through the system for a week | Findings written up | Tickets filed
Compass UAT on M2 scope,Compass,12,2,BA,M,Run dry-run buyer engagement with internal volunteer,Chris and one agent UAT the full flow | Sign-off captured | Stage 3 backlog locked
M2 gate: Build accepted,Compass,12,2,BA,S,Compass UAT on M2 scope,Buyer portal agent space Bruce v2 demonstrated end-to-end with real-style data | Written sign-off | Stage 3 kicked off
Integrate with Compass website lead form,A,13,3,Engineer,M,M2 gate: Build accepted,Lead from compassagency.com.au lands as a draft brief | Agent can claim and complete | Source recorded
Integrate with Compass email (forward to brief or thread),A,13,3,Engineer,M,M2 gate: Build accepted,Forwarded emails attach to the right buyer thread | Sender matched on email | Unmatched go to triage
Add export (PDF brief CSV of shortlist),A,13,3,Engineer,S,Build shortlist (link properties to a brief) + Build buyer brief intake form (Web app),Buyer can export their brief | Agent can export a shortlist | Branded layout
Tune Bruce on real Compass voice samples,B,13,3,Copywriter,M,Refine Bruce prompts based on real conversation review,20 to 30 real voice samples reviewed | Prompt v3 drafted | A/B compared with v2
Compass Monday catch-up (week 13),Compass,13,3,BA,S,Schedule Monday Compass catch-up cadence (30 min weekly),Status blockers decisions logged
Security review (RLS auth secrets dependencies),All,14,3,Engineer,L,M2 gate: Build accepted,RLS policies audited per table | npm audit clean for high critical | Secrets rotated | Findings doc published
Privacy review (data captured retention consent),All,14,3,BA,M,Security review (RLS auth secrets dependencies),Data inventory documented | Privacy notice updated | Consent recorded on intake
Performance pass (Web app Bruce reply latency),All,14,3,Engineer,M,Performance baseline (web app and Bruce reply latency),LCP under 2.5s on 4G | Bruce p95 reply under 5s | Heavy queries indexed
Backup restore and disaster recovery drill,All,14,3,DevOps,M,Security review (RLS auth secrets dependencies),Documented backup strategy | Restore tested in staging | RTO RPO recorded
Run agent training session (Compass team),Compass,15,3,BA,M,M2 gate: Build accepted,90 min hands-on session | Recording shared | Quick-reference card delivered
Write Compass OS user guide (buyer agent admin),All,15,3,Copywriter,M,M2 gate: Build accepted,Three guides written | Reviewed by Chris | Embedded in app and shared in Notion
Build help and onboarding tooltips in app,A,15,3,Engineer,M,Write Compass OS user guide (buyer agent admin),First-run tooltips on key views | Dismissible | Re-openable from help menu
Final design polish across all surfaces,All,15,3,Frontend Designer,M,Polish pass on Web app and Agent space,Designer walks every screen on mobile and desktop | Polish items logged and resolved
Compass go no-go review for launch,Compass,15,3,BA,S,Run agent training session (Compass team) + Write Compass OS user guide (buyer agent admin) + Build help and onboarding tooltips in app + Final design polish across all surfaces,Go no-go decision recorded | Launch checklist complete | Comms scheduled
Cut production environment over to compass-owned domain,A,16,3,DevOps,M,Compass go no-go review for launch,DNS TLS env vars all in prod | Zero-downtime cutover | Rollback plan documented
Launch Bruce on production WhatsApp number,B,16,3,DevOps,M,Compass go no-go review for launch + Tune Bruce on real Compass voice samples,Production number live | Test message round-trip confirmed | Monitoring alarms armed
Launch Agent space to Compass team,C,16,3,DevOps,S,Compass go no-go review for launch,All Compass agents have accounts | MFA enforced | Welcome flow tested
Live launch monitoring (first 48 hours),All,16,3,Engineer,M,Cut production environment over to compass-owned domain + Launch Bruce on production WhatsApp number + Launch Agent space to Compass team,On-call cover for 48h | Incidents logged | Daily standup with Chris
Final QA pass in production,All,16,3,Tester,M,Live launch monitoring (first 48 hours),Smoke tests across web Bruce agent space | No P0/P1 outstanding
Hand over runbooks credentials and roadmap,Compass,16,3,DevOps,M,Live launch monitoring (first 48 hours),Runbook for incidents restores deploys | Credentials transferred | Forward roadmap drafted
Compass UAT on M3 scope (launch acceptance),Compass,16,3,BA,S,Final QA pass in production + Hand over runbooks credentials and roadmap,Chris signs off launch acceptance | Outstanding items move to post-launch backlog
M3 gate: Launch accepted,Compass,16,3,BA,S,Compass UAT on M3 scope (launch acceptance),Compass OS live in production with buyers agents and Bruce | Written sign-off | Engagement closed out
